model_name,seed,metric,preprocess_mode,task_mode,pooling,n_per_color,run_n_per_color,n_stored_per_color,square_size,ident_noise_std,ident_max_shift,ident_occlusion_frac,ident_decision_noise_std,color_only_jitter_std,layer,ident_accuracy,ident_avg_target_sim,ident_avg_best_wrong_sim,ident_avg_margin,gen_accuracy,gen_avg_target_sim,gen_avg_best_wrong_sim,gen_avg_margin,avg_margin
vit_base_patch16_224,0,cosine,l2_only,color_only,mean_tokens,12,12,2,56,5.0,2,0.5,0.01,8.0,layer_6,0.0,0.8587086101373037,0.8665712028741837,-0.007862592736879984,91.66666666666666,0.9997652560472489,0.9994355152050655,0.000329740842183431,-0.0037664259473482765
vit_base_patch16_224,0,cosine,l2_only,color_only,mean_tokens,12,12,4,56,5.0,2,0.5,0.01,8.0,layer_0,4.166666666666666,0.9629764432708422,0.964150458574295,-0.0011740153034528096,89.58333333333334,0.9999931082129478,0.9999837639431158,9.344269831975302e-06,-0.0005823355168104172
vit_base_patch16_224,0,cosine,l2_only,color_only,mean_tokens,12,12,4,56,5.0,2,0.5,0.01,8.0,layer_11,4.166666666666666,0.9334581072131792,0.9375191703438759,-0.004061063130696614,83.33333333333334,0.9998750351369381,0.9997438825666904,0.00013115257024765015,-0.001964955280224482
vit_base_patch16_224,0,cosine,l2_only,color_only,mean_tokens,12,12,4,56,5.0,2,0.5,0.01,8.0,layer_6,4.166666666666666,0.8638226514061292,0.8722139795621237,-0.008391328155994415,85.41666666666666,0.9998196661472321,0.9997050228218237,0.00011464332540829976,-0.0041383424152930575
vit_base_patch16_224,0,cosine,l2_only,color_only,mean_tokens,12,12,6,56,5.0,2,0.5,0.01,8.0,layer_0,2.7777777777777777,0.963137846853998,0.964355574713813,-0.0012177278598149617,86.11111111111111,0.9999939915206697,0.999989143676228,4.8478444417317706e-06,-0.000606440007686615
vit_base_patch16_224,0,cosine,l2_only,color_only,mean_tokens,12,12,6,56,5.0,2,0.5,0.01,8.0,layer_11,2.7777777777777777,0.9304887884192996,0.9350217398669984,-0.0045329514476988055,83.33333333333334,0.999889976448483,0.9998466074466705,4.3369001812405055e-05,-0.0022447912229432002
vit_base_patch16_224,0,cosine,l2_only,color_only,mean_tokens,12,12,6,56,5.0,2,0.5,0.01,8.0,layer_6,2.7777777777777777,0.8601066072781881,0.8689169171783659,-0.00881030990017785,77.77777777777779,0.9998163928588232,0.9997382660706838,7.812678813934326e-05,-0.004366091556019253
vit_base_patch16_224,0,cosine,l2_only,position_only,mean_tokens,12,72,2,56,5.0,2,0.5,0.01,0.0,layer_0,50.0,0.9610305428504944,0.9606181085109711,0.00041243433952331543,75.71428571428571,0.9992999255657196,0.9991068431309291,0.00019308243479047502,0.0003027583871568952
vit_base_patch16_224,0,cosine,l2_only,position_only,mean_tokens,12,72,2,56,5.0,2,0.5,0.01,0.0,layer_11,50.0,0.9386939108371735,0.9391922354698181,-0.0004983246326446533,52.85714285714286,0.9798464749540602,0.9790464614118849,0.000800013542175293,0.00015084445476531982
vit_base_patch16_224,0,cosine,l2_only,position_only,mean_tokens,12,72,2,56,5.0,2,0.5,0.01,0.0,layer_6,50.0,0.9043804407119751,0.9050090312957764,-0.0006285905838012695,51.42857142857142,0.9695373475551605,0.9689633429050446,0.0005740046501159668,-2.7292966842651346e-05
