category,model_name,pooling,layer,corruption_mode,occlusion_frac,decision_noise_std,dam_n,dam_beta,dam_alpha,dam_lmbda,dam_steps_multiplier,n_splits,n_qualifying_splits,mean_qualifying_fraction,mean_ident_accuracy_baseline,std_ident_accuracy_baseline,mean_ident_accuracy_dam,std_ident_accuracy_dam,mean_ident_accuracy_delta,std_ident_accuracy_delta,mean_gen_accuracy_baseline,std_gen_accuracy_baseline,mean_gen_accuracy_dam,std_gen_accuracy_dam,mean_gen_accuracy_delta,std_gen_accuracy_delta,mean_gen_avg_margin_delta,std_gen_avg_margin_delta,mean_gen_avg_human_similarity_regret_delta,std_gen_avg_human_similarity_regret_delta,mean_probe_rdm_spearman_delta,std_probe_rdm_spearman_delta,mean_cue_recovered_cosine,std_cue_recovered_cosine,mean_cue_displacement,std_cue_displacement,mean_target_pull_gain,std_target_pull_gain
animals,vit_base_patch16_224,cls,layer_11,occlusion,0.5,0.0,2,0.02,0.05,0.0,1,10,5,0.5,89.25,3.020761493398643,93.5,3.29772648956823,4.25,2.75,57.875,7.094231811831356,59.5,6.128825336065631,1.625,4.367851302414037,0.09236646836819999,0.01839915547875185,-0.014893750000000002,0.019298534594626608,0.145840671255114,0.030540207530898613,0.9988276316731535,2.0066400339183527e-05,0.0011723683268465676,2.0066400339195985e-05,0.00010963191135469628,0.00020067221679009512
animals,vit_base_patch16_224,cls,layer_11,occlusion,0.5,0.0,2,0.02,0.05,0.0,2,10,5,0.5,89.25,3.020761493398643,93.25,3.2691742076555053,4.0,2.7838821814150108,57.875,7.094231811831356,59.625,6.125000000000001,1.75,4.408798022137099,0.09210843954671873,0.018458665709200562,-0.014731250000000001,0.01950318083031586,0.14584120607202244,0.03030506841809555,0.99765851366925,4.9194064219679694e-05,0.0023414863307500747,4.919406421971102e-05,0.0002016025497852796,0.00017850807929915263
animals,vit_base_patch16_224,cls,layer_11,occlusion,0.5,0.0,2,0.02,0.05,0.0,3,10,4,0.4,89.25,3.020761493398643,93.25,3.2691742076555053,4.0,2.7838821814150108,57.875,7.094231811831356,59.25,6.642665127793212,1.375,4.382137035739526,0.09182968636705482,0.018361445191899046,-0.014756250000000004,0.019377100692570082,0.14638647177024475,0.03069375744215057,0.9964896177781661,6.738436676370212e-05,0.0035103822218339647,6.738436676363622e-05,0.0002279252578413612,0.00023822200016452024
animals,vit_base_patch16_224,cls,layer_11,occlusion,0.5,0.0,2,0.02,0.05,0.0,5,10,4,0.4,89.25,3.020761493398643,93.5,3.43693177121688,4.25,2.692582403567252,57.875,7.094231811831356,59.125,6.639135862444751,1.25,4.330127018922194,0.09141548328509089,0.01839861902213837,-0.014631250000000004,0.01900925350322837,0.14731701802475242,0.029428954683313826,0.9941621736023519,0.00010027083911169083,0.00583782639764806,0.00010027083911168693,0.0005900336045292271,0.0005107918643386968
animals,vit_base_patch16_224,cls,layer_11,occlusion,0.5,0.0,2,0.02,0.05,0.0,8,10,5,0.5,89.25,3.020761493398643,93.375,3.3095505737184316,4.125,2.797878660699924,57.875,7.094231811831356,58.875,6.261239893184097,0.9999999999999993,3.7416573867739413,0.09075093281986482,0.01836876030935955,-0.013931250000000001,0.01865076238388125,0.14878984550052626,0.029866554045212663,0.9906905634646517,0.0001736513201092032,0.009309436535348267,0.00017365132010918878,0.0011170812536716295,0.0007226962714703967
animals,vit_base_patch16_224,cls,layer_11,occlusion,0.5,0.0,2,0.02,0.05,0.05,1,10,5,0.5,89.25,3.020761493398643,93.5,3.29772648956823,4.25,2.75,57.875,7.094231811831356,59.5,6.128825336065631,1.625,4.367851302414037,0.0923660556743198,0.018399088723666062,-0.014893750000000002,0.019298534594626608,0.14583561566178357,0.030538134685000086,0.9988252211601936,2.0092620926109662e-05,0.00117477883980645,2.0092620926109246e-05,0.00010845873523420658,0.0002008279234189786
animals,vit_base_patch16_224,cls,layer_11,occlusion,0.5,0.0,2,0.02,0.05,0.05,2,10,5,0.5,89.25,3.020761493398643,93.25,3.2691742076555053,4.0,2.7838821814150108,57.875,7.094231811831356,59.625,6.125000000000001,1.75,4.408798022137099,0.09210766792130017,0.018458579855081626,-0.014731250000000001,0.01950318083031586,0.14583428458555925,0.03030328674491086,0.9976537075916605,4.926454452442947e-05,0.0023462924083394563,4.926454452444165e-05,0.00019923887344316086,0.00017844448852266925
animals,vit_base_patch16_224,cls,layer_11,occlusion,0.5,0.0,2,0.02,0.05,0.05,3,10,4,0.4,89.25,3.020761493398643,93.25,3.2691742076555053,4.0,2.7838821814150108,57.875,7.094231811831356,59.25,6.642665127793212,1.375,4.382137035739526,0.09182851997720717,0.018361222885634663,-0.014756250000000004,0.019377100692570082,0.14638151277150221,0.030679641096317753,0.9964824258944107,6.74867767308297e-05,0.0035175741055893475,6.748677673085212e-05,0.00022430769198703224,0.00023823076603281414
animals,vit_base_patch16_224,cls,layer_11,occlusion,0.5,0.0,2,0.02,0.05,0.05,5,10,4,0.4,89.25,3.020761493398643,93.5,3.43693177121688,4.25,2.692582403567252,57.875,7.094231811831356,59.125,6.639135862444751,1.25,4.330127018922194,0.09141374320635805,0.018398301342977787,-0.014631250000000004,0.01900925350322837,0.14731948211119678,0.0294258560131597,0.994150250373,0.00010042005261677486,0.005849749626999956,0.00010042005261680352,0.000584243229196018,0.0005106440648640685
animals,vit_base_patch16_224,cls,layer_11,occlusion,0.5,0.0,2,0.02,0.05,0.05,8,10,5,0.5,89.25,3.020761493398643,93.375,3.3095505737184316,4.125,2.797878660699924,57.875,7.094231811831356,58.875,6.261239893184097,0.9999999999999993,3.7416573867739413,0.09074824259772868,0.018368278294631137,-0.013931250000000001,0.01865076238388125,0.1487961224390279,0.029872637943684374,0.9906716656540706,0.00017392302606773007,0.009328334345929213,0.0001739230260677024,0.0011080319745349829,0.0007225219195157006
animals,vit_base_patch16_224,cls,layer_11,occlusion,0.5,0.0,2,0.02,0.1,0.0,1,10,5,0.5,89.25,3.020761493398643,93.5,3.43693177121688,4.25,2.75,57.875,7.094231811831356,59.25,6.45174395028197,1.375,4.310234912391667,0.0917867083326928,0.01833374145967462,-0.013768750000000001,0.01954615531249048,0.14501499613990582,0.030507699720659073,0.9953224296238737,7.767906216874224e-05,0.004677570376126145,7.767906216876838e-05,-0.0008693348765125709,0.00040136770911523416
animals,vit_base_patch16_224,cls,layer_11,occlusion,0.5,0.0,2,0.02,0.1,0.0,2,10,5,0.5,89.25,3.020761493398643,92.875,3.0129926982984876,3.625,2.3351927115336757,57.875,7.094231811831356,59.125,6.662628985618215,1.2499999999999993,4.506939094329987,0.09099653208333622,0.018369528657677717,-0.01365625,0.019856260819952988,0.1447328007010617,0.02961030622789001,0.9906848313296441,0.0001935511108978084,0.009315168670355856,0.0001935511108977687,-0.0017717235327001032,0.00031367967121214525
animals,vit_base_patch16_224,cls,layer_11,occlusion,0.5,0.0,2,0.02,0.1,0.0,3,10,4,0.4,89.25,3.020761493398643,92.75,2.8939592256975564,3.5,2.1505813167606567,57.875,7.094231811831356,59.125,7.005578134601027,1.2499999999999993,4.808846015417837,0.09013208506134104,0.01813374976144241,-0.01445625,0.019769092828200285,0.1460086688152475,0.030429416380240114,0.9860879416935167,0.00027138403934733377,0.013912058306483534,0.0002713840393473743,-0.0027896124329298464,0.0005462924378649818
animals,vit_base_patch16_224,cls,layer_11,occlusion,0.5,0.0,2,0.02,0.1,0.0,5,10,4,0.4,89.25,3.020761493398643,93.0,2.968585521759479,3.75,1.9364916731037085,57.875,7.094231811831356,58.75,6.959705453537528,0.8749999999999979,3.667850187780303,0.08877628345886478,0.01811525213358452,-0.012581250000000002,0.019072513763266755,0.1476104943610503,0.027998739612360136,0.9769853999351042,0.00043959165220659746,0.02301460006489591,0.00043959165220662836,-0.004183648957560409,0.0008311996349979128
animals,vit_base_patch16_224,cls,layer_11,occlusion,0.5,0.0,2,0.02,0.1,0.0,8,10,2,0.2,89.25,3.020761493398643,93.125,2.9712160810011783,3.875,2.2672946434021317,57.875,7.094231811831356,58.75,7.048936089935842,0.8750000000000007,3.3564303955243866,0.08673361192268203,0.01799469782420153,-0.01319375,0.020653412248342884,0.1502159504007728,0.029434177930458955,0.9636959557453603,0.000742611356579337,0.03630404425463986,0.0007426113565793246,-0.0062305502552602475,0.0013040766479730846
